,box_name,channel_name,time,value,label
22181,Box0,Accel Y,3/23/2020 15:22,1.19,2 people
22182,Box0,Accel X,3/23/2020 15:22,2.22,2 people
22183,Box0,Humidity,3/23/2020 15:22,22.37,2 people
22184,Box0,Approx. Altitude,3/23/2020 15:22,-57.38,2 people
22185,Box0,Pressure,3/23/2020 15:22,1020.139,2 people
22186,Box0,Temperature,3/23/2020 15:22,24.28,2 people
22187,Box0,C,3/23/2020 15:22,556,2 people
22188,Box0,B,3/23/2020 15:22,129,2 people
22189,Box0,G,3/23/2020 15:22,148,2 people
22190,Box0,R,3/23/2020 15:22,306,2 people
22191,Box0,Lumosity,3/23/2020 15:22,39,2 people
22192,Box0,Color Temp (K),3/23/2020 15:22,2899,2 people
22193,Box0,Audio,3/23/2020 15:22,0.176,2 people
22194,Box0,PIR,3/23/2020 15:22,1,2 people
22159,Box0,Magnet Z,3/23/2020 15:22,-19.69,2 people
22160,Box0,Magnet Y,3/23/2020 15:22,-19.562,2 people
22161,Box0,Magnet X,3/23/2020 15:22,10.187,2 people
22162,Box0,Accel Z,3/23/2020 15:22,9.42,2 people
22163,Box0,Accel Y,3/23/2020 15:22,1.2,2 people
